algorithm,config,p_target,alpha,p_estimate,exact_error,ci_width,num_oracle_calls
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.016124821367831485,0.006124821367831485,0.0061290939321409785,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.008461085913823678,0.0015389140861763219,0.004404665271812968,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011616231179397196,0.001616231179397196,0.0037390852986181116,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010446937138069158,0.0004469371380691582,0.0035435394167995494,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.015107077201576488,0.005107077201576488,0.0059304364672014874,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011025061308599359,0.0010250613085993586,0.0036415246463125227,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012161870562600686,0.0021618705626006863,0.005311572739507105,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012161870562600686,0.0021618705626006863,0.005311572739507105,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009327132416628591,0.0006728675833714091,0.003345596470741568,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01121369024870748,0.0012136902487074799,0.005095464740767194,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010281203049212146,0.0002812030492121455,0.004873053503873003,200
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009054328680351232,0.0009456713196487679,0.003295564405394268,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010162549883567972,0.00016254988356797194,0.0034943339906948552,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011318970078093831,0.001318970078093831,0.003690347527040804,300
IAE,"{'epsilon_target': 0.1, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.012642038257796173,0.0026420382577961726,0.005417551944339115,200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010319840259143412,0.00031984025914341165,0.0012131852404389893,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009891261437030655,0.00010873856296934534,0.001305733592897599,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010316031927730675,0.00031603192773067487,0.001331589840065971,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01012799961132058,0.0001279996113205794,0.0011075416150866284,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010420622530397994,0.0004206225303979936,0.0013379198211847486,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010319840259143412,0.00031984025914341165,0.0012131852404389893,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009719219909289832,0.0002807800907101681,0.0006618986345405444,2500
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010147504015924048,0.00014750401592404823,0.0012031528840705241,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010316031927730675,0.00031603192773067487,0.001331589840065971,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.011204592152231359,0.0012045921522313586,0.001264110125869941,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010474693504418497,0.00047469350441849655,0.0007217399551866337,2400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009614996100924948,0.00038500389907505234,0.001003052229446754,1500
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00929427842845942,0.0007057215715405799,0.001152841922134924,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010644410405742946,0.000644410405742946,0.00113675987319534,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010316031927730675,0.00031603192773067487,0.001331589840065971,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010061694248698986,6.169424869898604e-05,0.0011981421673932478,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010147504015924048,0.00014750401592404823,0.0012031528840705241,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01046781107722027,0.0004678110772202704,0.0011267756912244197,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009891261437030655,0.00010873856296934534,0.001305733592897599,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010211443304875573,0.0002114433048755731,0.0011122690954536475,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00986566151829716,0.00013433848170284028,0.0007005488544263409,2400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009878824865877408,0.00012117513412259265,0.0010180845875484724,1500
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010061694248698986,6.169424869898604e-05,0.0011981421673932478,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00941039369590093,0.00058960630409907,0.0015158059371962488,900
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01046781107722027,0.0004678110772202704,0.0011267756912244197,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00997608024363885,2.3919756361149777e-05,0.0011931323981500342,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009549808023844229,0.0004501919761557716,0.0011680265391977125,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00996378714646062,3.6212853539380543e-05,0.001098226481931597,1400
